Image[46,169] - Red: 255, Green: 254, Blue: 254
Image[46,170] - Red: 255, Green: 136, Blue: 136
Image[46,171] - Red: 255, Green: 0, Blue: 0
Image[46,172] - Red: 255, Green: 0, Blue: 0
Image[46,173] - Red: 255, Green: 0, Blue: 0
Image[46,174] - Red: 255, Green: 0, Blue: 0
Image[46,175] - Red: 255, Green: 0, Blue: 0
Image[46,176] - Red: 255, Green: 0, Blue: 0
Image[46,177] - Red: 255, Green: 0, Blue: 0
Image[46,178] - Red: 255, Green: 0, Blue: 0
Image[46,179] - Red: 255, Green: 0, Blue: 0
Image[46,180] - Red: 255, Green: 0, Blue: 0
Image[46,181] - Red: 255, Green: 0, Blue: 0
Image[46,182] - Red: 255, Green: 0, Blue: 0
Image[46,183] - Red: 255, Green: 0, Blue: 0
Image[46,184] - Red: 255, Green: 0, Blue: 0
Image[46,185] - Red: 255, Green: 0, Blue: 0
Image[46,186] - Red: 255, Green: 0, Blue: 0
Image[46,187] - Red: 255, Green: 0, Blue: 0
Image[46,188] - Red: 255, Green: 0, Blue: 0
Image[46,189] - Red: 255, Green: 0, Blue: 0
Image[46,190] - Red: 255, Green: 0, Blue: 0
Image[46,191] - Red: 255, Green: 0, Blue: 0
Image[46,192] - Red: 255, Green: 0, Blue: 0
Image[46,193] - Red: 255, Green: 0, Blue: 0
Image[46,194] - Red: 255, Green: 0, Blue: 0
Image[46,195] - Red: 255, Green: 0, Blue: 0
Image[46,196] - Red: 255, Green: 0, Blue: 0
Image[46,197] - Red: 255, Green: 0, Blue: 0
Image[46,198] - Red: 255, Green: 0, Blue: 0
Image[46,199] - Red: 255, Green: 0, Blue: 0
Image[46,200] - Red: 255, Green: 0, Blue: 0
Image[46,201] - Red: 255, Green: 0, Blue: 0
Image[46,202] - Red: 255, Green: 0, Blue: 0
Image[46,203] - Red: 255, Green: 0, Blue: 0
Image[46,204] - Red: 255, Green: 0, Blue: 0
Image[46,205] - Red: 255, Green: 0, Blue: 0
Image[46,206] - Red: 255, Green: 0, Blue: 0
Image[46,207] - Red: 255, Green: 0, Blue: 0
Image[46,208] - Red: 255, Green: 0, Blue: 0
Image[46,209] - Red: 255, Green: 0, Blue: 0
Image[46,210] - Red: 255, Green: 0, Blue: 0
Image[46,211] - Red: 255, Green: 0, Blue: 0
Image[46,212] - Red: 255, Green: 0, Blue: 0
Image[46,213] - Red: 255, Green: 0, Blue: 0
Image[46,214] - Red: 255, Green: 0, Blue: 0
Image[46,215] - Red: 255, Green: 0, Blue: 0
Image[46,216] - Red: 255, Green: 0, Blue: 0
Image[46,217] - Red: 255, Green: 0, Blue: 0
Image[46,218] - Red: 255, Green: 110, Blue: 110
Image[46,219] - Red: 254, Green: 239, Blue: 237
Image[47,168] - Red: 253, Green: 250, Blue: 252
Image[47,169] - Red: 255, Green: 110, Blue: 110
Image[47,170] - Red: 255, Green: 0, Blue: 0
Image[47,171] - Red: 255, Green: 0, Blue: 0
Image[47,172] - Red: 255, Green: 0, Blue: 0
Image[47,173] - Red: 255, Green: 0, Blue: 0
Image[47,174] - Red: 255, Green: 0, Blue: 0
Image[47,175] - Red: 255, Green: 0, Blue: 0
Image[47,176] - Red: 255, Green: 0, Blue: 0
Image[47,177] - Red: 255, Green: 0, Blue: 0
Image[47,178] - Red: 255, Green: 0, Blue: 0
Image[47,179] - Red: 255, Green: 0, Blue: 0
Image[47,180] - Red: 255, Green: 0, Blue: 0
Image[47,181] - Red: 255, Green: 0, Blue: 0
Image[47,182] - Red: 255, Green: 0, Blue: 0
Image[47,183] - Red: 255, Green: 0, Blue: 0
Image[47,184] - Red: 255, Green: 0, Blue: 0
Image[47,185] - Red: 255, Green: 0, Blue: 0
Image[47,186] - Red: 255, Green: 0, Blue: 0
Image[47,187] - Red: 255, Green: 0, Blue: 0
Image[47,188] - Red: 255, Green: 0, Blue: 0
Image[47,189] - Red: 255, Green: 0, Blue: 0
Image[47,190] - Red: 255, Green: 0, Blue: 0
Image[47,191] - Red: 255, Green: 0, Blue: 0
Image[47,192] - Red: 255, Green: 0, Blue: 0
Image[47,193] - Red: 255, Green: 0, Blue: 0
Image[47,194] - Red: 255, Green: 0, Blue: 0
Image[47,195] - Red: 255, Green: 0, Blue: 0
Image[47,196] - Red: 255, Green: 0, Blue: 0
Image[47,197] - Red: 255, Green: 0, Blue: 0
Image[47,198] - Red: 255, Green: 0, Blue: 0
Image[47,199] - Red: 255, Green: 0, Blue: 0
Image[47,200] - Red: 255, Green: 0, Blue: 0
Image[47,201] - Red: 255, Green: 0, Blue: 0
Image[47,202] - Red: 255, Green: 0, Blue: 0
Image[47,203] - Red: 255, Green: 0, Blue: 0
Image[47,204] - Red: 255, Green: 0, Blue: 0
Image[47,205] - Red: 255, Green: 0, Blue: 0
Image[47,206] - Red: 255, Green: 0, Blue: 0
Image[47,207] - Red: 255, Green: 0, Blue: 0
Image[47,208] - Red: 255, Green: 0, Blue: 0
Image[47,209] - Red: 255, Green: 0, Blue: 0
Image[47,210] - Red: 255, Green: 0, Blue: 0
Image[47,211] - Red: 255, Green: 0, Blue: 0
Image[47,212] - Red: 255, Green: 0, Blue: 0
Image[47,213] - Red: 255, Green: 0, Blue: 0
Image[47,214] - Red: 255, Green: 0, Blue: 0
Image[47,215] - Red: 255, Green: 0, Blue: 0
Image[47,216] - Red: 255, Green: 0, Blue: 0
Image[47,217] - Red: 255, Green: 0, Blue: 0
Image[47,218] - Red: 255, Green: 0, Blue: 0
Image[47,219] - Red: 255, Green: 38, Blue: 38
Image[47,220] - Red: 254, Green: 239, Blue: 237
